symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days
AQB,3679.17,0.14,529.8,2017-01-09,2017-01-11,2
GPOR,1491.42,0.13,198.21,2020-11-23,2025-05-13,1631
DCTH,1190.5,0.02,23.81,2017-06-02,2021-02-10,1349
LCFYW,1069.25,0.2,213.85,2022-12-08,2025-02-06,791
LINE,886.18,0.1,86.58,2016-05-17,2024-08-08,3005
SDSTW,777.78,0.0,0.7,2023-10-03,2024-09-20,353
NRXPW,678.26,0.02,15.6,2020-04-07,2021-02-08,307
OXBRW,586.67,0.0,0.88,2018-12-31,2025-02-20,2243
CORZW,536.0,0.02,12.06,2022-12-30,2024-11-22,693
SN,510.44,0.22,114.44,2019-01-03,2025-02-13,2233
ENPH,480.69,0.7,336.0,2017-05-18,2022-12-02,2024
CBL,472.9,0.07,31.59,2020-11-02,2025-02-14,1565
NVNIW,399.71,0.0,0.28,2022-11-30,2025-02-03,796
ERNA,379.23,4.14,1570.0,2016-06-16,2021-05-03,1782
CORZ,357.45,0.05,18.23,2022-12-21,2024-11-22,702
DXF,345.14,0.09,30.51,2024-09-16,2025-02-04,141
FUFUW,257.92,0.0,0.62,2022-12-02,2024-03-04,458
VAL,249.94,0.32,79.98,2020-06-01,2024-07-15,1505
PDYNW,246.25,0.0,0.98,2023-12-28,2024-12-27,365
NAMSW,245.86,0.06,14.85,2022-06-09,2024-12-18,923
LGCY,245.06,0.04,9.68,2019-06-27,2025-02-13,2058
NVDA,242.8,0.62,149.42,2016-02-08,2025-01-06,3255
AISPW,239.6,0.01,2.42,2022-10-26,2025-02-14,842
SOUNW,225.6,0.08,16.92,2022-12-19,2024-12-19,731
AMR,221.66,2.0,442.21,2020-03-24,2024-02-26,1434
SRL,218.33,0.06,12.27,2017-04-03,2021-07-21,1570
BBLGW,209.67,0.45,95.0,2023-06-09,2025-02-10,612
PTIXW,209.54,0.0,0.27,2025-04-22,2025-05-21,29
CIVI,209.41,0.35,73.25,2017-04-28,2023-09-14,2330
DBD,199.56,0.25,49.89,2023-05-26,2024-11-06,530
TLSIW,196.4,0.01,2.18,2022-10-05,2024-05-28,601
MARA,192.0,0.4,76.09,2020-03-18,2021-11-09,601
SD,189.02,0.11,20.83,2016-01-06,2022-06-07,2343
EGO,180.53,0.11,20.4,2018-11-29,2025-05-06,2349
FCEL,180.39,4.65,838.8,2019-06-25,2021-02-09,595
