symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
AQB,3679.17,0.14,529.8,2017-01-09,2017-01-11,2,3466946.0,Farm Products
GPOR,1491.42,0.13,198.21,2020-11-23,2025-05-13,1631,3430912000.0,Oil & Gas E&P
DCTH,1190.5,0.02,23.81,2017-06-02,2021-02-10,1349,600403712.0,Medical Devices
LCFYW,1069.25,0.2,213.85,2022-12-08,2025-02-06,791,,Internet Content & Information
LINE,886.18,0.1,86.58,2016-05-17,2024-08-08,3005,11412106240.0,REIT - Industrial
SDSTW,777.78,0.0,0.7,2023-10-03,2024-09-20,353,,Electrical Equipment & Parts
NRXPW,678.26,0.02,15.6,2020-04-07,2021-02-08,307,,Biotechnology
OXBRW,586.67,0.0,0.88,2018-12-31,2025-02-20,2243,2293436.0,Insurance - Reinsurance
CORZW,536.0,0.02,12.06,2022-12-30,2024-11-22,693,,Software - Infrastructure
SN,510.44,0.22,114.44,2019-01-03,2025-02-13,2233,13721878528.0,"Furnishings, Fixtures & Appliances"
ENPH,480.69,0.7,336.0,2017-05-18,2022-12-02,2024,6204779008.0,Solar
CBL,472.9,0.07,31.59,2020-11-02,2025-02-14,1565,771845760.0,REIT - Retail
NVNIW,399.71,0.0,0.28,2022-11-30,2025-02-03,796,,Software - Application
ERNA,379.23,4.14,1570.0,2016-06-16,2021-05-03,1782,14301147.0,Biotechnology
CORZ,357.45,0.05,18.23,2022-12-21,2024-11-22,702,3210521344.0,Software - Infrastructure
DXF,345.14,0.09,30.51,2024-09-16,2025-02-04,141,1659580.0,Credit Services
FUFUW,257.92,0.0,0.62,2022-12-02,2024-03-04,458,,Capital Markets
VAL,249.94,0.32,79.98,2020-06-01,2024-07-15,1505,2585490176.0,Oil & Gas Equipment & Services
PDYNW,246.25,0.0,0.98,2023-12-28,2024-12-27,365,,Software - Infrastructure
NAMSW,245.86,0.06,14.85,2022-06-09,2024-12-18,923,,Biotechnology
LGCY,245.06,0.04,9.68,2019-06-27,2025-02-13,2058,109073088.0,Education & Training Services
NVDA,242.8,0.62,149.42,2016-02-08,2025-01-06,3255,3214285733888.0,Semiconductors
AISPW,239.6,0.01,2.42,2022-10-26,2025-02-14,842,,Software - Infrastructure
SOUNW,225.6,0.08,16.92,2022-12-19,2024-12-19,731,,Software - Application
AMR,221.66,2.0,442.21,2020-03-24,2024-02-26,1434,1584206208.0,Coking Coal
SRL,218.33,0.06,12.27,2017-04-03,2021-07-21,1570,102718536.0,Capital Markets
BBLGW,209.67,0.45,95.0,2023-06-09,2025-02-10,612,,Medical Devices
PTIXW,209.54,0.0,0.27,2025-04-22,2025-05-21,29,,Biotechnology
CIVI,209.41,0.35,73.25,2017-04-28,2023-09-14,2330,2550576384.0,Oil & Gas E&P
DBD,199.56,0.25,49.89,2023-05-26,2024-11-06,530,1779723776.0,Software - Application
TLSIW,196.4,0.01,2.18,2022-10-05,2024-05-28,601,,Medical Devices
MARA,192.0,0.4,76.09,2020-03-18,2021-11-09,601,5574539776.0,Capital Markets
SD,189.02,0.11,20.83,2016-01-06,2022-06-07,2343,360633216.0,Oil & Gas E&P
EGO,180.53,0.11,20.4,2018-11-29,2025-05-06,2349,4068305920.0,Gold
FCEL,180.39,4.65,838.8,2019-06-25,2021-02-09,595,95773736.0,Electrical Equipment & Parts
SAVA,176.86,0.76,135.3,2018-12-24,2021-07-28,946,99031192.0,Biotechnology
SHOTW,176.4,0.02,2.84,2023-06-29,2023-12-04,158,,Beverages - Non-Alcoholic
RGTIW,176.35,0.05,8.8,2023-05-12,2025-01-02,601,,Computer Hardware
REE,174.52,1.86,324.6,2016-02-08,2021-08-09,2008,22199778.0,Auto Parts
BIOA,161.54,0.16,25.83,2018-02-08,2024-10-21,2446,139815008.0,Drug Manufacturers - Specialty & Generic
OCSAW,161.3,0.07,11.29,2022-07-18,2025-01-31,928,,
APPS,160.41,0.59,94.74,2016-12-08,2021-03-01,1544,435779072.0,Software - Application
MVIS,158.99,0.17,26.44,2020-03-16,2021-04-26,406,264217712.0,Scientific & Technical Instruments
ASTI,151.59,1200.0,181904.0,2022-01-31,2022-08-24,204,3065288.0,Solar
VEEAW,151.52,0.0,0.5,2023-06-15,2024-03-27,286,,Information Technology Services
LOTWW,150.53,0.01,1.43,2022-12-12,2024-05-29,533,,Auto Manufacturers
RGC,146.72,3.2,470.02,2024-07-16,2025-05-12,300,5400353280.0,Drug Manufacturers - Specialty & Generic
GRVY,145.98,1.5,218.97,2016-02-11,2020-12-21,1775,454388576.0,Electronic Gaming & Multimedia
KDLYW,140.85,0.1,14.08,2024-11-19,2025-05-21,182,,Medical Care Facilities
MI,140.1,19.2,2690.0,2019-08-12,2021-03-23,589,12713526.0,Internet Retail
VSSYW,133.33,0.0,0.28,2022-12-20,2024-06-07,534,,Software - Application
CNCKW,132.69,0.03,3.45,2023-12-14,2024-12-05,357,,Capital Markets
GME,124.11,0.7,86.88,2020-04-03,2021-01-27,299,12546792448.0,Specialty Retail
BULLW,121.75,0.04,4.87,2023-10-23,2025-05-08,563,,Software - Application
CDNA,121.67,0.79,95.6,2017-04-27,2021-01-20,1364,949352512.0,Diagnostics & Research
TVGNW,120.0,0.0,0.12,2022-12-12,2023-03-29,106,,Biotechnology
RIOT,119.85,0.65,77.9,2020-03-18,2021-02-17,336,3158213888.0,Capital Markets
AMD,117.43,1.8,211.38,2016-01-20,2024-03-07,2969,181694087168.0,Semiconductors
LEU,114.14,1.04,118.71,2016-01-15,2025-02-12,3316,1590261504.0,Uranium
