symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
GPOR,1491.42,0.13,198.21,2020-11-23,2025-05-13,1631,3430912000.0,Oil & Gas E&P
LINE,886.18,0.1,86.58,2016-05-17,2024-08-08,3005,11412106240.0,REIT - Industrial
SN,510.44,0.22,114.44,2019-01-03,2025-02-13,2233,13721878528.0,"Furnishings, Fixtures & Appliances"
ENPH,480.69,0.7,336.0,2017-05-18,2022-12-02,2024,6204779008.0,Solar
CORZ,357.45,0.05,18.23,2022-12-21,2024-11-22,702,3210521344.0,Software - Infrastructure
VAL,249.94,0.32,79.98,2020-06-01,2024-07-15,1505,2585490176.0,Oil & Gas Equipment & Services
NVDA,242.8,0.62,149.42,2016-02-08,2025-01-06,3255,3214285733888.0,Semiconductors
CIVI,209.41,0.35,73.25,2017-04-28,2023-09-14,2330,2550576384.0,Oil & Gas E&P
MARA,192.0,0.4,76.09,2020-03-18,2021-11-09,601,5574539776.0,Capital Markets
EGO,180.53,0.11,20.4,2018-11-29,2025-05-06,2349,4068305920.0,Gold
RGC,146.72,3.2,470.02,2024-07-16,2025-05-12,300,5400353280.0,Drug Manufacturers - Specialty & Generic
GME,124.11,0.7,86.88,2020-04-03,2021-01-27,299,12546792448.0,Specialty Retail
RIOT,119.85,0.65,77.9,2020-03-18,2021-02-17,336,3158213888.0,Capital Markets
AMD,117.43,1.8,211.38,2016-01-20,2024-03-07,2969,181694087168.0,Semiconductors
DRS,109.18,0.38,42.0,2016-01-28,2025-05-02,3381,10820211712.0,Aerospace & Defense
VKTX,101.61,0.93,94.5,2017-08-02,2024-02-28,2401,3060447488.0,Biotechnology
DJTWW,94.8,0.43,40.5,2021-10-11,2024-10-29,1114,4537750528.0,Internet Content & Information
CELH,92.41,1.04,96.11,2018-12-21,2024-03-13,1908,9428165632.0,Beverages - Non-Alcoholic
SHOP,87.46,1.93,169.06,2016-02-12,2021-11-19,2107,132276232192.0,Software - Application
SLNO,86.08,0.89,76.78,2022-12-15,2025-05-09,875,3693872896.0,Biotechnology
CAMT,85.03,1.61,137.24,2016-01-20,2024-07-08,3091,2950982912.0,Semiconductor Equipment & Materials
CVNA,82.13,3.72,305.52,2022-12-27,2025-05-14,868,34159048704.0,Auto & Truck Dealerships
SMCI,75.92,1.56,118.81,2018-08-22,2024-03-13,2030,24857468928.0,Computer Hardware
PR,75.86,0.23,17.25,2020-04-01,2024-04-09,1469,10374313984.0,Oil & Gas E&P
SEZL,74.45,1.36,101.1,2023-10-27,2025-05-21,572,3299005184.0,Credit Services
ARWR,72.96,1.24,90.47,2016-12-16,2021-02-05,1512,2114311040.0,Biotechnology
AR,72.2,0.67,48.31,2020-04-01,2022-06-07,797,12144711680.0,Oil & Gas E&P
AXSM,68.88,2.0,137.75,2018-12-27,2025-02-21,2248,5207241728.0,Biotechnology
CRC,68.0,0.86,58.64,2020-04-01,2024-11-22,1696,3781911808.0,Oil & Gas E&P
LNTH,67.55,1.83,123.62,2016-02-08,2024-07-11,3075,5197928960.0,Drug Manufacturers - Specialty & Generic
MTDR,61.64,1.14,70.39,2020-03-18,2022-11-07,964,5452590592.0,Oil & Gas E&P
TTD,61.19,2.28,139.51,2016-11-08,2024-12-04,2948,36597465088.0,Software - Application
TRGP,58.21,3.7,215.14,2020-03-18,2025-01-21,1770,34789384192.0,Oil & Gas Midstream
APP,54.85,9.3,510.13,2022-12-27,2025-02-14,780,121260990464.0,Software - Application
MDGL,54.37,6.54,355.88,2016-02-11,2025-02-26,3303,6155642880.0,Biotechnology
TPL,53.57,32.22,1726.12,2016-01-19,2024-11-22,3230,31162963968.0,Oil & Gas E&P
SM,53.47,0.97,51.61,2020-04-01,2022-06-07,797,2644072192.0,Oil & Gas E&P
RGTI,53.32,0.38,20.0,2023-05-03,2025-01-02,610,3181940224.0,Computer Hardware
